type,name,dependencies_count,dependencies,header,category
PROCEDURE,new_project_permissions_For_Tree,2,"brv_Template, new_project_permissions_For_Tree","CREATE PROCEDURE [dbo].[new_project_permissions_For_Tree] (@contract_id int,@role_id INT , @HasEdit INT)",دسترسی/نقش/وضعیت کاربر
PROCEDURE,new_project_permissions_Full,2,"brv_Access, new_project_permissions_Full","CREATE PROCEDURE [dbo].[new_project_permissions_Full] (@contract_id int,@role_id int)",دسترسی/نقش/وضعیت کاربر
PROCEDURE,Optimize_DB,0,,CREATE PROCEDURE Optimize_DB @db nvarchar(100),نیازمند بررسی
PROCEDURE,PSNIMPORT01_prepare,1,psn_importer,CREATE PROCEDURE PSNIMPORT01_prepare,ورود/ایمپورت فایل‌ها
PROCEDURE,PSNIMPORT02_unit,0,,CREATE PROCEDURE PSNIMPORT02_unit,ورود/ایمپورت فایل‌ها
PROCEDURE,PSNIMPORT05_add_ader,0,,CREATE PROCEDURE PSNIMPORT05_add_ader @code int,ورود/ایمپورت فایل‌ها
PROCEDURE,RebuildAllIndex,0,,CREATE PROCEDURE RebuildAllIndex,نیازمند بررسی
PROCEDURE,set_user_state_Acc,1,set_user_state_Acc,"CREATE PROCEDURE [dbo].[set_user_state_Acc] @ComputerName nvarchar(50),@ForceLogOut bit AS",دسترسی/نقش/وضعیت کاربر
PROCEDURE,set_user_state_asnad,1,set_user_state_asnad,CREATE PROCEDURE dbo.set_user_state_asnad @ComputerName nvarchar(50) AS,دسترسی/نقش/وضعیت کاربر
PROCEDURE,set_user_state_bhz,1,set_user_state_bhz,"CREATE PROCEDURE dbo.set_user_state_bhz @ComputerName nvarchar(50),@ForceLogOut bit AS",دسترسی/نقش/وضعیت کاربر
PROCEDURE,set_user_state_brv,1,set_user_state_brv,"CREATE PROCEDURE [dbo].[set_user_state_brv] @ComputerName nvarchar(50),@ForceLogOut bit AS",دسترسی/نقش/وضعیت کاربر
PROCEDURE,set_user_state_peik,1,set_user_state_peik,CREATE PROCEDURE dbo.set_user_state_peik @ComputerName nvarchar(50) AS,گزارش‌ها/درخت گزارش
PROCEDURE,SetCodeAmelInSource,2,"Correct, SetCodeAmelInSource",CREATE PROCEDURE [dbo].[SetCodeAmelInSource] (@Code int),نیازمند بررسی
PROCEDURE,SetKarnamaFields,3,"GetPersonalityTypeId, SetKarnamaFields, brv_type",CREATE PROCEDURE [dbo].[SetKarnamaFields],نیازمند بررسی
PROCEDURE,SetKarnamaFieldsSitu,3,"GetStuBarcode, SetKarnamaFieldsSitu, brv_situ",create PROCEDURE [dbo].[SetKarnamaFieldsSitu],نیازمند بررسی
PROCEDURE,sp_alterdiagram,2,"sp_alterdiagram, sysdiagrams",CREATE PROCEDURE dbo.sp_alterdiagram,نیازمند بررسی
